# Actual Command, Previous Torque, Measured Torque, Predicted Command
39.000,60.930,41.350,42.259
53.000,41.350,56.650,55.382
40.000,56.650,42.300,43.281
85.000,42.300,92.700,84.374
7.000,92.700,2.930,4.664
28.000,2.930,19.840,28.511
26.000,19.840,18.070,25.900
43.000,18.070,40.170,43.911
27.000,40.170,23.120,29.189
32.000,23.120,27.190,33.690
16.000,27.190,12.170,19.227
78.000,12.170,85.080,79.885
28.000,85.080,24.750,27.832
83.000,24.750,90.120,84.295
71.000,90.120,82.090,73.374
30.000,82.090,28.350,30.850
49.000,28.350,50.590,46.600
46.000,50.590,47.820,41.379
85.000,47.820,92.990,82.961
52.000,92.990,57.910,53.114
83.000,57.910,91.180,82.472
66.000,91.180,75.630,67.932
86.000,75.630,95.410,85.030
97.000,95.410,108.700,95.002
44.000,108.700,49.180,42.139
