# setPoint, prevCurrent, Current
97.500,5.958,8.499
42.600,8.499,3.233
24.800,3.233,1.765
54.700,1.765,4.043
5.800,4.043,0.742
8.100,0.742,0.737
96.300,0.737,8.306
51.900,8.306,4.205
52.300,4.205,4.136
23.100,4.136,1.628
29.300,1.628,1.892
32.300,1.892,2.220
42.100,2.220,2.831
86.200,2.831,7.311
35.900,7.311,2.610
93.700,2.610,7.937
58.800,7.937,4.886
23.400,4.886,1.659
95.500,1.659,8.201
56.500,8.201,4.814
27.900,4.814,2.059
10.700,2.059,0.952
23.500,0.952,1.531
43.200,1.531,2.941
51.500,2.941,3.609
26.100,3.609,1.782
78.800,1.782,6.438
3.400,6.438,0.680
78.000,0.680,6.215
52.800,6.215,4.258
10.900,4.258,0.904
57.200,0.904,4.275
55.700,4.275,4.128
36.600,4.128,2.636
86.700,2.636,7.329
28.900,7.329,2.122
55.700,2.122,4.136
17.600,4.136,1.384
20.400,1.384,1.507
4.900,1.507,0.761
75.000,0.761,6.084
58.500,6.084,4.871
69.700,4.871,5.633
75.000,5.633,5.971
39.000,5.971,2.877
53.900,2.877,4.047
0.100,4.047,0.631
63.400,0.631,4.743
4.100,4.743,0.630
95.600,0.630,8.328
81.200,8.328,7.146
91.100,7.146,7.827
62.600,7.827,5.251
21.500,5.251,1.577
78.400,1.577,6.412
7.900,6.412,0.855
16.900,0.855,1.079
94.200,1.079,8.180
23.800,8.180,1.581
34.000,1.581,2.226
47.600,2.226,3.375
34.900,3.375,2.600
