# Actual Command, Previous Torque, Measured Torque, Predicted Command
63.700,80.717,80.478,66.482
59.300,80.478,76.634,63.312
61.300,76.634,75.302,62.523
56.700,75.302,72.704,60.439
59.100,72.704,73.577,61.423
55.900,73.577,71.802,59.820
56.100,71.802,68.124,56.817
52.700,68.124,66.661,55.867
55.400,66.661,68.615,57.714
55.000,68.615,68.895,57.766
57.600,68.895,69.312,58.102
54.600,69.312,67.216,56.244
57.400,67.216,68.366,57.440
56.800,68.366,69.785,58.566
57.400,69.785,69.286,57.995
57.200,69.286,70.829,59.385
59.500,70.829,72.619,60.783
57.500,72.619,71.259,59.440
58.400,71.259,70.412,58.834
55.400,70.412,69.724,58.317
58.300,69.724,70.558,59.106
55.500,70.558,68.781,57.488
57.300,68.781,69.828,58.563
56.900,69.828,70.211,58.794
59.200,70.211,71.552,59.921
56.600,71.552,69.663,58.162
57.800,69.663,69.691,58.358
54.400,69.691,68.299,57.148
57.100,68.299,68.765,57.683
54.900,68.765,69.576,58.345
56.500,69.576,68.694,57.501
56.500,68.694,70.775,59.398
59.200,70.775,72.481,60.669
57.000,72.481,70.885,59.131
59.800,70.885,71.164,59.519
58.400,71.164,71.741,59.991
59.100,71.741,71.845,60.025
55.500,71.845,70.627,58.966
57.700,70.627,70.558,59.019
55.700,70.558,69.776,58.348
58.700,69.776,71.673,60.069
54.100,71.673,66.537,55.467
55.800,66.537,67.596,56.832
50.000,67.596,64.131,53.719
52.200,64.131,63.457,53.435
49.200,63.457,61.511,51.799
49.200,61.511,61.611,52.064
44.000,61.611,53.111,44.843
46.300,53.111,54.951,47.086
41.500,54.951,50.979,43.578
41.500,50.979,50.293,43.356
39.900,50.293,49.131,42.464
41.000,49.131,48.823,42.320
37.800,48.823,45.721,39.867
38.400,45.721,44.665,39.311
36.400,44.665,41.957,37.329
38.100,41.957,42.201,37.758
33.900,42.201,40.750,36.639
33.900,40.750,38.430,35.060
28.100,38.430,31.491,30.423
30.200,31.491,31.485,30.986
27.200,31.485,29.540,29.645
27.700,29.540,29.601,29.865
26.300,29.601,28.366,29.007
27.800,28.366,26.662,27.942
22.400,26.662,23.205,25.672
23.300,23.205,23.081,25.887
22.300,23.081,24.046,26.595
24.800,24.046,23.897,26.395
24.000,23.897,24.114,26.565
24.900,24.114,24.822,27.048
21.900,24.822,20.757,24.046
22.000,20.757,21.735,25.135
18.400,21.735,17.784,21.999
18.400,17.784,15.664,20.553
14.800,15.664,11.863,17.157
16.200,11.863,13.584,21.792
13.200,13.584,10.914,18.644
15.500,10.914,11.989,20.064
11.500,11.989,10.156,17.828
13.100,10.156,10.388,18.222
11.100,10.388,8.487,15.826
14.000,8.487,10.639,18.625
10.000,10.639,7.857,14.985
12.300,7.857,8.948,16.573
10.000,8.948,7.133,14.116
10.100,7.133,7.521,14.751
10.000,7.521,6.327,13.090
10.800,6.327,7.870,13.478
10.000,7.870,8.142,13.666
12.900,8.142,9.323,15.062
10.000,9.323,6.079,12.629
12.400,6.079,8.677,14.502
10.000,8.677,8.127,13.572
12.800,8.127,8.054,13.533
10.000,8.054,8.158,13.669
11.800,8.158,8.423,13.984
10.000,8.423,8.435,13.974
10.000,8.435,7.366,12.634
10.000,7.366,6.301,11.322
10.400,6.301,6.873,12.191
10.000,6.873,7.454,12.894
12.700,7.454,9.677,15.542
10.000,9.677,8.499,15.885
12.600,8.499,8.461,15.908
11.000,8.461,8.807,16.356
11.500,8.807,8.217,15.572
10.000,8.217,5.778,12.269
11.700,5.778,7.198,12.670
10.000,7.198,7.831,13.342
12.300,7.831,6.639,11.736
10.000,6.639,6.392,11.513
11.500,6.392,8.615,14.394
