# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
1.59,0.00,-1.60,0.06,5.01
1.60,0.00,1.70,1.08,4.99
1.60,0.00,2.20,0.00,5.03
1.61,0.00,1.70,0.96,4.96
1.62,0.00,0.60,1.50,4.90
1.63,0.00,1.10,0.30,4.96
nan,nan,nan,nan,nan
1.63,0.00,0.00,0.06,5.01
1.64,0.00,0.60,0.30,4.96
1.65,0.00,-1.00,0.00,5.01
1.66,0.00,0.00,1.02,4.99
1.66,0.00,-1.60,1.62,4.92
1.67,0.00,0.00,1.02,4.86
1.68,0.00,-0.50,0.06,4.92
nan,nan,nan,nan,nan
1.69,0.00,-1.00,1.44,4.88
1.70,0.00,2.20,0.84,4.92
1.70,0.00,1.70,0.06,4.99
1.71,0.00,1.10,0.90,4.94
1.72,0.00,0.60,0.00,4.99
1.73,0.00,0.00,0.00,5.03
1.73,0.00,-0.50,1.92,4.96
nan,nan,nan,nan,nan
1.74,0.00,1.10,0.90,4.94
1.75,0.00,1.70,0.00,4.99
1.76,0.00,1.70,1.20,4.92
1.76,0.00,0.00,0.00,4.99
1.77,0.00,-1.00,1.38,4.92
1.78,0.00,0.60,1.02,4.96
1.79,0.00,0.00,0.00,5.03
nan,nan,nan,nan,nan
1.79,0.00,1.10,1.08,4.99
1.80,0.00,1.10,0.12,5.03
1.81,0.00,0.00,1.20,4.96
1.81,0.00,2.20,1.68,4.92
1.82,0.00,1.70,0.60,4.96
1.83,0.00,2.80,0.00,5.01
1.84,0.00,-0.50,0.00,5.05
1.84,0.00,-1.00,1.02,5.01
1.85,0.00,1.10,0.12,5.05
nan,nan,nan,nan,nan
1.86,0.00,0.60,0.90,5.01
1.87,0.00,1.70,1.02,4.96
1.87,0.00,3.80,1.50,4.90
1.88,0.00,1.70,0.84,4.94
1.89,0.00,2.20,0.00,4.99
1.90,0.00,2.80,0.06,5.03
1.90,0.00,0.60,1.02,5.01
1.91,0.00,0.60,1.38,4.94
1.92,0.00,-0.50,1.32,4.90
1.93,0.00,0.00,0.90,4.94
nan,nan,nan,nan,nan
1.93,0.00,2.20,0.06,5.01
1.94,0.00,2.80,1.02,4.94
1.95,0.00,-0.50,0.00,4.99
1.96,0.00,1.70,0.06,5.05
1.96,0.00,-1.00,1.02,4.99
nan,nan,nan,nan,nan
1.97,0.00,0.60,1.02,4.96
1.98,0.00,-1.60,0.06,5.01
1.99,0.00,0.60,1.14,4.94
2.00,0.00,0.60,0.00,4.99
2.00,0.00,0.00,0.60,4.94
2.01,0.00,1.70,1.80,4.90
2.02,0.00,0.00,1.02,4.94
2.02,0.00,-1.00,0.96,4.99
2.03,0.00,0.60,0.18,5.03
nan,nan,nan,nan,nan
2.04,0.00,0.60,1.02,5.01
2.05,0.00,-2.10,0.06,5.05
2.06,0.00,0.00,1.08,4.99
2.06,0.00,1.70,1.02,4.92
2.07,0.00,0.00,0.90,4.90
2.08,0.00,1.10,0.96,4.94
2.08,0.00,1.70,0.36,4.99
2.09,0.00,0.60,0.00,5.03
2.10,0.00,0.60,0.06,5.07
2.11,0.00,0.60,0.96,5.01
nan,nan,nan,nan,nan
2.11,0.00,0.00,1.62,4.94
2.12,0.00,0.00,0.00,5.01
2.13,0.00,-1.60,0.96,4.96
2.14,0.00,1.10,0.06,5.01
2.14,0.00,0.00,0.00,5.05
2.15,0.00,0.60,1.32,4.99
2.16,0.00,-1.00,1.80,4.94
2.17,0.00,-0.50,0.96,4.90
nan,nan,nan,nan,nan
2.17,0.00,0.60,0.00,4.96
2.18,0.00,-0.50,0.06,5.01
2.19,0.00,0.60,0.06,5.05
2.20,0.00,0.00,1.92,4.99
2.20,0.00,-1.00,0.96,4.96
2.21,0.00,-0.50,0.00,5.01
nan,nan,nan,nan,nan
2.22,0.00,0.60,0.06,5.07
2.23,0.00,0.00,0.96,5.01
2.23,0.00,0.60,0.00,5.05
2.24,0.00,0.60,1.62,4.99
2.25,0.00,2.80,1.44,4.92
2.26,0.00,0.00,0.06,5.01
2.26,0.00,2.20,0.36,5.03
