# setPoint, prevCurrent, Current
73.000,5.878,6.181
27.400,6.181,2.279
56.000,2.279,4.507
46.000,4.507,3.782
85.300,3.782,7.470
6.900,7.470,0.967
63.600,0.967,5.104
99.500,5.104,8.994
20.200,8.994,1.579
68.100,1.579,5.602
48.500,5.602,4.085
43.900,4.085,3.616
74.300,3.616,6.328
14.900,6.328,1.404
65.900,1.404,5.402
99.900,5.402,9.105
90.900,9.105,8.432
57.000,8.432,5.046
17.100,5.046,1.517
12.400,1.517,1.318
67.200,1.318,5.538
10.900,5.538,1.117
56.400,1.117,4.480
55.100,4.480,4.384
94.400,4.384,8.621
45.200,8.621,3.737
42.200,3.737,3.540
41.000,3.540,3.400
96.800,3.400,8.749
48.000,8.749,4.025
0.800,4.025,0.768
75.300,0.768,6.347
72.600,6.347,6.391
94.500,6.391,8.510
14.500,8.510,1.358
72.300,1.358,6.041
49.100,6.041,4.134
90.500,4.134,8.054
77.700,8.054,7.066
69.400,7.066,6.343
27.900,6.343,2.302
37.800,2.302,2.797
13.500,2.797,1.337
26.800,1.337,1.778
56.100,1.778,4.433
23.500,4.433,1.869
50.900,1.869,3.995
76.100,3.995,6.513
85.800,6.513,7.700
32.500,7.700,2.575
66.000,2.575,5.461
3.400,5.461,0.774
40.300,0.774,2.847
41.400,2.847,2.907
33.100,2.907,2.560
3.700,2.560,0.749
20.800,0.749,1.500
67.300,1.500,5.573
27.000,5.573,1.960
39.100,1.960,2.838
82.500,2.838,7.281
66.800,7.281,5.817
34.300,5.817,2.712
44.500,2.712,3.457
16.800,3.457,1.513
63.300,1.513,5.140
2.600,5.140,0.731
52.300,0.731,3.979
46.900,3.979,3.717
81.700,3.717,6.969
82.700,6.969,7.328
11.600,7.328,1.241
96.000,1.241,8.616
99.000,8.616,8.955
74.900,8.955,6.889
72.100,6.889,6.567
82.800,6.567,7.509
24.500,7.509,1.892
13.400,1.892,1.402
88.600,1.402,7.815
34.900,7.815,2.714
17.600,2.714,1.540
48.600,1.540,3.795
36.200,3.795,2.789
71.500,2.789,6.106
25.600,6.106,2.024
90.800,2.024,8.090
90.000,8.090,8.229
13.500,8.229,1.348
23.600,1.348,1.630
68.500,1.630,5.758
85.800,5.758,7.537
31.800,7.537,2.523
0.200,2.523,0.705
26.300,0.705,1.717
91.100,1.717,8.054
23.000,8.054,1.785
21.400,1.785,1.677
3.600,1.677,0.766
11.900,0.766,0.932
74.200,0.932,6.416
32.000,6.416,2.528
16.300,2.528,1.497
26.600,1.497,1.840
46.600,1.840,3.596
9.900,3.596,1.094
29.600,1.094,2.086
22.900,2.086,1.690
73.700,1.690,6.247
71.700,6.247,6.110
15.100,6.110,1.451
68.000,1.451,5.543
45.300,5.543,3.837
17.000,3.837,1.541
9.000,1.541,1.008
28.700,1.008,1.878
90.000,1.878,8.002
28.200,8.002,2.246
20.900,2.246,1.716
47.200,1.716,3.635
7.200,3.635,0.974
18.200,0.974,1.461
93.500,1.461,8.522
20.300,8.522,1.608
6.300,1.608,0.859
68.500,0.859,5.744
25.500,5.744,2.117
84.800,2.117,7.401
94.900,7.401,8.613
88.900,8.613,8.229
58.700,8.229,5.212
87.800,5.212,7.858
60.700,7.858,5.502
49.400,5.502,4.340
49.200,4.340,4.372
64.400,4.372,5.510
14.000,5.510,1.431
69.900,1.431,5.902
45.900,5.902,3.814
20.300,3.814,1.657
7.300,1.657,0.872
84.300,0.872,7.383
0.100,7.383,0.755
39.100,0.755,2.726
99.300,2.726,8.969
82.500,8.969,7.775
95.000,7.775,8.567
86.900,8.567,8.048
48.400,8.048,4.176
71.200,4.176,6.078
62.100,6.078,5.595
54.800,5.595,4.910
32.100,4.910,2.639
80.400,2.639,7.098
78.200,7.098,6.923
96.400,6.923,8.753
6.400,8.753,0.986
6.200,0.986,0.818
69.300,0.818,5.874
97.900,5.874,8.994
18.900,8.994,1.572
13.800,1.572,1.468
23.700,1.468,1.666
76.200,1.666,6.631
89.500,6.631,8.030
22.100,8.030,1.703
65.600,1.703,5.465
72.300,5.465,6.194
25.700,6.194,2.143
23.400,2.143,1.838
98.200,1.838,8.885
76.800,8.885,7.107
92.200,7.107,8.283
77.200,8.283,7.213
28.700,7.213,2.414
50.600,2.414,4.066
77.400,4.066,6.764
45.400,6.764,3.728
20.400,3.728,1.703
28.800,1.703,2.051
96.600,2.051,8.790
67.800,8.790,6.208
34.400,6.208,2.730
74.800,2.730,6.482
50.700,6.482,4.372
1.600,4.372,0.737
32.200,0.737,2.289
47.600,2.289,3.620
21.000,3.620,1.664
82.100,1.664,7.302
7.700,7.302,0.966
72.000,0.966,6.170
20.800,6.170,1.670
77.600,1.670,6.690
84.700,6.690,7.510
72.600,7.510,6.587
32.100,6.587,2.585
30.100,2.585,2.453
49.100,2.453,3.901
90.400,3.901,8.082
94.200,8.082,8.589
20.800,8.589,1.657
22.100,1.657,1.778
42.500,1.778,3.303
79.600,3.303,6.938
83.400,6.938,7.529
85.300,7.529,7.595
6.200,7.595,0.910
26.300,0.910,1.764
10.500,1.764,1.106
24.500,1.106,1.671
54.200,1.671,4.382
59.600,4.382,4.817
39.000,4.817,3.166
61.100,3.166,4.952
61.000,4.952,5.055
21.000,5.055,1.705
46.000,1.705,3.583
6.700,3.583,0.875
95.100,0.875,8.878
96.700,8.878,8.985
9.800,8.985,1.262
63.700,1.262,5.180
52.100,5.180,4.427
89.600,4.427,7.875
73.400,7.875,6.773
4.000,6.773,0.825
67.000,0.825,5.695
51.500,5.695,4.361
65.400,4.361,5.444
18.500,5.444,1.618
36.800,1.618,2.672
66.500,2.672,5.533
31.900,5.533,2.603
84.400,2.603,7.533
19.100,7.533,1.615
79.900,1.615,6.914
39.800,6.914,3.376
19.000,3.376,1.668
16.600,1.668,1.592
3.800,1.592,0.738
18.700,0.738,1.463
25.900,1.463,1.705
41.100,1.705,2.971
81.700,2.971,7.160
27.400,7.160,2.223
10.700,2.223,1.100
26.200,1.100,1.778
41.000,1.778,2.968
15.200,2.968,1.482
73.100,1.482,6.415
22.000,6.415,1.740
16.400,1.740,1.516
36.400,1.516,2.603
68.800,2.603,5.758
84.200,5.758,7.588
27.100,7.588,2.213
79.300,2.213,6.898
87.100,6.898,7.777
94.700,7.777,8.642
10.600,8.642,1.269
51.600,1.269,4.043
60.000,4.043,4.776
12.800,4.776,1.415
32.400,1.415,2.370
13.300,2.370,1.407
63.800,1.407,5.313
51.200,5.313,4.246
6.200,4.246,0.850
18.400,0.850,1.435
88.300,1.435,7.810
38.400,7.810,3.128
95.700,3.128,8.681
60.500,8.681,5.529
30.000,5.529,2.370
18.000,2.370,1.595
80.300,1.595,7.048
2.100,7.048,0.804
37.700,0.804,2.649
62.700,2.649,5.186
21.500,5.186,1.715
74.400,1.715,6.393
