# Actual Command, Previous Torque, Measured Torque, Predicted Command
30.600,23.338,25.845,31.076
28.000,25.845,24.428,29.645
29.800,24.428,24.207,29.584
18.800,24.207,15.144,21.136
22.200,15.144,17.048,23.835
10.200,17.048,5.429,9.584
12.300,5.429,4.827,9.555
10.100,4.827,4.253,8.710
15.700,4.253,6.613,12.339
12.300,6.613,5.076,9.833
14.600,5.076,7.361,13.325
10.000,7.361,3.526,7.325
13.800,3.526,6.203,11.811
10.000,6.203,3.510,7.395
12.900,3.510,4.960,9.938
11.300,4.960,4.399,8.930
16.300,4.399,6.810,12.609
10.000,6.810,2.884,6.311
15.400,2.884,6.083,11.698
10.000,6.083,5.002,9.767
11.800,5.002,4.195,8.602
10.000,4.195,3.517,7.582
11.300,3.517,3.908,8.279
10.000,3.908,3.422,7.452
10.000,3.422,4.298,8.910
